Coluna;Tamanho;Título
V0101;4 ;Ano de referência
UF;2 ;Unidade da Federação
V0102;6 ;Número de controle
V0103;3 ;Número de série
V0301;2 ;Número de ordem
V0302;1 ;Sexo
V3031;2 ;Dia de nascimento
V3032;2 ;Mês de nascimento
V3033;4 ;Ano de nascimento
V8005;3 ;Idade do morador na data de referência
V0401;1 ;Condição na unidade domiciliar
V0402;1 ;Condição na família
V0403;1 ;Número da família
V0404;1 ;Cor ou raça
V0405;1 ;Tem mãe viva
V0406;1 ;Mãe mora no domicílio
V0407;2 ; Número de ordem da mãe 
V0408;1 ;Tem registro de nascimento
V0409;1 ;Principal motivo de morar neste domícilio com outra(s) família(s)
V0410;1 ;Intenção de se mudar e constituir outro domicílio
V4111;1 ;Vive em companhia de cônjuge ou companheiro(a)
V4112;1 ;Natureza da união
V4011;1 ;Estado civil
V0412;1 ;O informante desta parte foi
V0501;1 ;Nasceu no município de residência
V0502;1 ;Nasceu na Unidade da Federação de residência
V5030;2 ;Lugar de nascimento
V0504;1 ;Morou em outra Unidade da Federação ou país estrangeiro
V0505;1 ;Morava na Unidade da Federação na data de referência 
V5061;1 ;Tinha até 4 anos ininterruptos de residência na Unidade da Federação
V5062;1 ;Tempo de residência na Unidade da Federação (até 4 anos)
V5063;1 ;Tinha de 5 a 9 anos ininterruptos de residência na Unidade da Federação
V5064;1 ;Tempo de residência na Unidade da Federação (de 5 a 9 anos)
V5065;1 ;Tinha 10 anos ou mais de residência na Unidade da Federação
V0507;1 ;Morava na Unidade da Federação há 5 anos da data de referência
V5080;2 ;Lugar de residência há 5 anos da data de referência
V5090;2 ;Lugar de residência anterior
V0510;1 ;Morava no município na data de referência
V0511;1 ;Morou em outro município na Unidade da Federação
V5121;1 ;Tinha até 4 anos ininterruptos de residência no município
V5122;1 ;Tempo de residência no município (até 4 anos)
V5123;1 ;Tinha de 5 a 9 anos ininterruptos de residência no município
V5124;1 ;Tempo de residência no município (de 5 a 9 anos)
V5125;1 ;Tinha 10 anos ou mais de residência no município
V5126;1 ;O informante desta parte foi
V0601;1 ;Sabe ler e escrever
V0602;1 ;Frequenta escola ou creche
V6002;1 ;Rede de ensino
V6020;1 ;Área da rede pública de ensino
V6003;2 ;Curso que frequenta
V6030;1 ;Duração do ensino fundamental
V0604;1 ;O curso que frequenta é seriado
V0605;1 ;Série que frequenta
V0606;1 ;Anteriormente frequentou escola ou creche
V6007;2 ;Curso mais elevado que frequentou anteriormente
V6070;1 ;Duração do ensino fundamental que frequentou anteriormente
V0608;1 ;Este curso que frequentou anteriormente era seriado
V0609;1 ;Concluiu, com aprovação, pelo menos a 1ª série deste curso que frequentou anteriormente
V0610;1 ;Última série concluída com aprovação, neste curso que frequentou anteriormente
V0611;1 ;Concluiu este curso que frequentou anteriormente
V06111;1 ;Nos últimos três meses, utilizou a Internet em algum local
V061111;1 ;Nos últimos doze meses, utilizou a Internet em algum local
V061112;1 ;O acesso à Internet foi feito através de microcomputador
V061113;1 ;O acesso à Internet foi feito através de telefone celular
V061114;1 ;O acesso à Internet foi feito através de tablet
V061115;1 ;O acesso à Internet foi feito através de tv
V061116;1 ;O acesso à Internet foi feito através de outro equipamento eletrônico
V06112;1 ;Tem telefone móvel celular para uso pessoal
V0612;1 ;O informante desta parte foi
V0701;1 ;Teve algum trabalho no período de referência de 365 dias
V0702;1 ;Exerceu tarefas em cultivo, pesca ou criação de animais, destinados à própria alimentação das pessoas moradoras no domicílio, no período de referência de 365 dias
V0703;1 ;Exerceu tarefas em construção de prédio, cômodo, poço ou outras obras de construção, destinadas ao próprio uso das pessoas moradoras no domicílio, no período de referência de 365 dias
V0704;1 ;Trabalhou na semana de referência
V0705;1 ;Esteve afastado temporariamente do trabalho remunerado que tinha na semana de referência
V7060;4 ;Código da ocupação no trabalho do período de captação de 358 dias
V7070;5 ;Código da atividade principal do empreendimento no trabalho do período de captação de 358 dias
V0708;1 ;Posição na ocupação no trabalho do período de captação de 358 dias
V7090;4 ;Código da ocupação no trabalho da semana de referência
V7100;5 ;Código da atividade principal do empreendimento no trabalho da semana de referência
V0711;1 ;Posição na ocupação no trabalho da semana de referência
V7121;1 ;Código 2 - recebia normalmente rendimento mensal em dinheiro no mês de referência no(s) trabalho(s) da semana de referência
V7122;12; Rendimento mensal em dinheiro que recebia normalmente no mês de referência no(s) trabalho(s) da semana de referência
V7124;1 ;Código 4 - recebia normalmente rendimento mensal em produtos ou mercadorias no mês de referência no(s) trabalho(s) da semana de referência
V7125;12; Rendimento mensal em valor dos produtos ou mercadorias que recebia normalmente no mês de referência no(s) trabalho(s) da semana de referência
V7127;1 ;Código 6 - recebia normalmente rendimento mensal somente em benefícios no mês de referência no(s) trabalho(s) da semana de referência
V7128;1 ;Código 8 - era trabalhador não remunerado no(s) trabalho(s) da semana de referência
V0713; 2; Número de horas habitualmente trabalhadas por semana no(s) trabalho(s) da semana de referência
V0714;1 ;Cuidava dos afazeres domésticos na semana de referência
V0715; 2; Número de horas que dedicava normalmente por semana aos afazeres domésticos
V0716;1 ;O informante desta parte foi
V9001;1 ;Trabalhou na semana de referência
V9002;1 ;Esteve afastado temporariamente do trabalho remunerado que tinha na semana de referência
V9003;1 ;Exerceu tarefas em cultivo, pesca ou criação de animais, destinados à própria alimentação das pessoas moradoras no domicílio, na semana de referência
V9004;1 ;Exerceu tarefas em construção de prédio, cômodo, poço ou outras obras de construção, destinadas ao próprio uso das pessoas moradoras no domicílio, na semana de referência
V9005;1 ;Número de trabalhos que tinha na semana de referência
V9906;4 ;Código da ocupação no trabalho principal da semana de referência
V9907;5 ;Código da atividade principal do empreendimento no trabalho principal da semana de referência
V9008;2 ;Posição na ocupação no trabalho principal da semana de referência
V9009;1 ;Recebia do empregador alguma área para produção particular
V9010;1 ;Tinha parceria com o empregador
V9011;1 ;Foi contratado somente por pessoa(s) responsável(véis) pelo(s) estabelecimento(s) em que trabalhou como empregado temporário no mês de referência
V9012;1 ;Foi contratado como empregado temporário, somente por intermediário (empresa empreiteira, empreiteiro, gato, etc) no mês de referência
V9013;1 ;Teve ajuda de trabalhador não remunerado membro da unidade domiciliar no mês de referência
V9014;1 ;Número de trabalhadores não remunerados membros da unidade domiciliar, independentemente da idade, que ajudaram à pessoa que era empregado no mês de referência
V9151;1 ;Código 1 - referente à 1ª parcela ou parcela única do empreendimento
V9152;11; Área informada na 1ª parcela ou parcela única do empreendimento
V9154; 7; Equivalência em m², referente à unidade de medida de superfície em V9152
V9156;1 ;Código 3 - referente à 2ª parcela do empreendimento
V9157;11; Área informada na 2ª parcela do empreendimento
V9159; 7; Equivalência em m², referente à unidade de medida de superfície em V9157
V9161;1 ;Código 5 - referente à 3ª parcela do empreendimento
V9162;11; Área informada na 3ª parcela do empreendimento
V9164; 7; Equivalência em m², referente à unidade de medida de superfície em V9162
V9016;1 ;Tinha pelo menos um empregado temporário, no mês de referência, no trabalho principal da semana de referência
V9017;1 ;Número de empregados temporários, no mês de referência, no trabalho principal da semana de referência
V9018;1 ;Tinha pelo menos um empregado permanente, no mês de referência, no trabalho principal da semana de referência
V9019;1 ;Número de empregados permanentes, no mês de referência, no trabalho principal da semana de referência
V9201;1 ;Código 2 - referente à 1ª parcela ou parcela única do empreendimento
V9202;11; Área informada na 1ª parcela ou parcela única do empreendimento
V9204;7 ;Equivalência em m², referente à unidade de medida de superfície em V9202
V9206;1 ;Código 4 - referente à 2ª parcela do empreendimento
V9207;11; Área informada na 2ª parcela do empreendimento
V9209;7 ;Equivalência em m², referente à unidade de medida de superfície em V9207
V9211;1 ;Código 6 - referente à 3ª parcela do empreendimento
V9212;11; Área informada na 3ª parcela do empreendimento
V9214; 7; Equivalência em m², referente à unidade de medida de superfície em V9212
V9021;1 ;Condição em relação ao empreendimento do grupamento agrícola
V9022;1 ;Parceria contratada neste trabalho
V9023;1 ;Forma contratada de pagamento pelo uso do bem, móvel ou imóvel, arrendado para o empreendimento
V9024;1 ;Assumiu, previamente, o compromisso de vender uma parte da produção principal do empreendimento no período de referência de 365 dias
V9025;1 ;Vendeu alguma parte da produção principal do empreendimento no período de referência de 365 dias
V9026;1 ;Comprador que adquiriu a totalidade, ou a maior parte, da produção principal do empreendimento que foi vendida no período de referência de 365 dias
V9027;1 ;Algum tipo de produção desenvolvida no empreendimento foi consumida como alimentação pelos membros da unidade domiciliar no mês de referência
V9028;1 ;Parcela da alimentação consumida pelos membros da unidade domiciliar, no mês de referência, que foi retirada de produção desenvolvida no empreendimento
V90281;1 ;Algum morador deste domicílio recebeu financiamento de algum programa de crédito para produção 
