Mundo	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
1	20500	25	18	44	45	3	168	205	14	0.21
2	33900	12	86	75	68	1	26	3408	95	0.34
3	3700	126	68	75	68	1	27	5000	100	0.04
4	17800	2	85	80	74	1	7	16848	100	0.18
5	7400	86	54	75	67	1	35	3000	100	0.07
6	600	828	83	74	71	2	25	7875	55	0.01
7	125000	800	16	53	53	2	106	202	22	1.25
8	256	605	45	78	73	0	20	6950	99	0.00
9	10300	50	65	76	66	0	19	6500	100	0.10
10	7900	7	51	64	59	3	75	730	71	0.08
11	1359	2	25	66	60	3	39	2677	16	0.01
12	156600	18	75	67	57	1	66	2354	80	1.57
13	10000	36	15	50	47	3	118	357	9	0.10
14	6000	216	5	50	46	2	105	208	40	0.06
15	10000	55	12	52	50	3	112	260	22	0.10
16	13100	27	40	58	55	3	77	993	45	0.13
17	3300	5	47	44	41	2	137	457	15	0.03
18	14000	18	85	78	71	2	15	2591	93	0.14
19	1205200	124	26	69	67	1	52	377	68	12.05
20	35600	31	70	75	69	2	28	1538	86	0.36
21	3300	64	47	79	76	2	11	2031	93	0.03
22	11100	99	74	78	74	1	10	1382	93	0.11
23	7800	159	60	70	66	2	52	1034	82	0.08
24	10700	39	56	73	67	2	39	1085	86	0.11
25	60000	57	44	63	60	2	76	748	34	0.60
26	5800	246	44	69	64	2	41	1078	70	0.06
27	1600	36	72	76	67	1	19	6000	100	0.02
28	55200	47	12	54	51	3	110	122	16	0.55
29	1300	4	46	58	52	1	94	4283	48	0.01
30	959	86	23	52	48	3	124	351	16	0.01
31	5500	81	56	76	69	1	23	4500	100	0.06
32	10400	80	63	80	75	1	8	8060	89	0.10
33	10300	97	39	67	62	3	57	1342	47	0.10
34	6500	231	29	47	43	2	109	383	47	0.07
35	5600	46	44	70	65	3	45	1030	71	0.06
36	5800	5494	94	80	75	0	6	14641	64	0.06
37	10500	111	64	76	67	0	13	5249	98	0.11
38	911600	283	26	59	58	2	79	275	39	9.12
39	199700	102	29	65	61	2	68	681	68	2.00
40	65600	39	57	67	65	3	60	1500	43	0.66
41	19900	44	72	68	65	4	67	1955	49	0.20
42	5400	238	92	80	76	2	9	13066	89	0.05
43	58100	188	69	81	74	0	8	17500	96	0.58
44	3961	42	68	74	70	3	34	1157	70	0.04
45	28200	49	24	55	51	3	74	323	58	0.28
46	1800	97	96	78	73	5	13	6818	67	0.02
47	2700	40	71	75	64	1	22	7400	100	0.03
48	3620	343	84	71	67	2	40	1429	73	0.04
49	2900	29	45	57	54	3	113	409	29	0.03
50	5500	3	82	65	62	4	63	5910	50	0.06
51	3800	58	69	77	68	0	17	6710	98	0.04
52	19500	58	43	72	66	2	26	2995	70	0.20
53	91800	46	73	77	69	2	35	3604	85	0.92
54	28600	63	46	70	66	2	50	1062	38	0.29
55	23100	189	60	73	67	2	28	1000	99	0.23
56	4100	33	60	67	61	3	53	447	57	0.04
57	98100	102	35	57	54	3	75	282	40	0.98
58	128100	143	32	58	57	3	101	406	21	1.28
59	2600	34	53	78	71	2	17	2397	88	0.03
60	5200	11	48	75	72	3	25	1500	88	0.05
61	23650	18	70	67	63	2	54	1107	79	0.24
62	69800	221	43	68	63	2	51	867	90	0.70
63	38600	123	62	77	69	0	14	4429	98	0.39
64	10500	108	34	78	71	0	9	9000	82	0.11
65	149200	9	74	74	64	0	27	6680	100	1.49
66	8400	311	6	46	43	3	117	292	37	0.08
67	45000	447	72	74	68	1	22	6627	99	0.45
68	18000	8	77	70	66	3	52	6651	48	0.18
69	8700	43	40	58	55	3	76	744	25	0.09
70	2900	4456	100	79	73	1	6	14990	84	0.03
71	6667	10	24	55	54	3	126	2126	14	0.07
72	39200	77	78	81	74	0	7	13047	93	0.39
73	14900	74	50	68	65	4	43	2436	51	0.15
74	29800	29	21	45	41	3	110	263	31	0.30
75	59400	115	22	72	65	1	37	1800	90	0.59
76	62200	79	61	73	69	2	49	3721	71	0.62
77	2800	32	81	74	70	5	22	14193	63	0.03
78	260800	26	75	79	73	1	8	23474	97	2.61
79	19800	76	11	43	41	2	112	325	35	0.20
80	51800	87	67	75	65	0	21	2340	100	0.52
81	3200	18	89	77	71	1	17	3131	96	0.03
82	22600	50	41	72	65	2	53	1350	100	0.23
83	20600	22	91	76	70	2	28	2829	87	0.21
84	73100	218	20	68	63	2	46	230	83	0.73
85	9100	11	42	45	44	3	85	573	65	0.09

